title,body,rating
For beginners its a masterpiece,"If you want to capture those bike rides or any of your adventures without spending much, just go for this camera. Its a perfect substitute for gopro. I have used it for a couple of rides and it gave good performance. Video quality is nice 1080p which looks great. Must buy if you cant afford gopro",5.0 out of 5 stars
Worst Ever Purchase - Please do not buy!!,"It didn't even work for more than a day. And trust me if it gives problem than you won't get it serviced very easily. The manufacturer is from China, so they asked me to raise a support case in sjcam website and they expect us to ship it to China from own pocket i.e. spend 2000 bucks for the newly purchased product which is 5000 and you have barely used it for some hours. I could not return this product before the return window as I was in middle of the trip. It ruined trip too. Amazon gives service center names in Bangalore who are not ready to service this sjcam product when you say you have purchased through this site. My advice do not go for this cam.",1.0 out of 5 stars
Worst  camera ever purchased,"The media could not be loaded.
                




   I purchased this cam in jan 2019. This camera did not even last for 5 months. Today when I tried to start this camera and  it wudnt. Now I got to know that non of the sjcam product has warranty. If it breaks, you are out of the game as neither amazon nor the manufacturer/ seller will support you. You are duped!I have attached the video please check. I would urge you please dont waste your money on this cheep quality camera.",1.0 out of 5 stars
One of the Best Budget Cams in the Market with Good Accessories and Decent Picture Quality,"The media could not be loaded.
                




   Dear Readers,I had seen a number of videos on Youtube before making a choice to buy this Camera. It has met my requirements. To quickly summarise -Pros -1. Looks and Feel are amazing, similar to a professional high end Camera2. Picture quality is good in daylight (@1080p with 30fps)3. Good set of Accessories (also good quality) so need not spend too much apart from a shoulder band and chest band)4. All in all good at this price, definitely with the pennyCons - (can be improved)1. Picture quality and modes below 1080p are not upto mark, and something to do with low lighting.I have done an unboxing with review and test shots video which you can look into. Search for my name (Amol Keer) on Youtube for full videoThanks to Amazon and retailer for a good quality product. Expect good service going ahead :)",4.0 out of 5 stars
Trash,"FraudPictures and accessories shown was just to attract customersWhat was delivered to me was a different productI'll be happy even if a different product was delivered to IF it works fine but what was delivered was complete trash, it doesn't detects memory card and battery is worstAt first i thought it was a battery defect so i ordered a new battery which cost me 800..it turn out it wasnt the battery problemI couldn't find out what the problem was...such a disappointment WASTAGE OF MONEY",1.0 out of 5 stars
Good product but a small issue...,The cam is very good...quality is very very nice at this price point...bttry bck up is quite nice...i got a recording time of 90 mins at 720p 30fps continuously...bt the only issue is that i didnot receive some stuffs..coz its really strange..the manual that i got with this cam had a list of the content according to which all the accessories are provided to me..it fulfils the list...but when i checked in the youtube unboxing videos i saw that the j mount and the velcro straps are also provided with it..which i didnt receive here..even the official sjcam site shows the content including the j mount and the velcros...i dont know if this is the original product..but i checked with the package serial number which shows online its a genuine sjcam product..but again the package had no seal on it..i m really confused coz the official site and the videos shows the j mount and velcro straps included..so plz amazon look into the matter..i prefers guys buy it from the official site..they charge more or less same amount...but overall the product is good..and the software works like charm with the video instantly downloading to ur phone with the wifi...go for sjcam 4000 guys..its a very good product...,4.0 out of 5 stars
Really very disappointed..,I got the product today...was quite excited. As soon as i unboxed it i was trying to switch it on but nothing happened so i charged it for hour but even after that it was not switching on...couldn't understand for a bit and starting searching answers on google after maybe 15min more i opened the battery case and to my very surprise it was empty. Never had i felt so disappointed. I don't purchase much stuffs from Amazon and now after paying so much... it sucks....worst experience,3.0 out of 5 stars
Using as car dashcam. Its good but have some shortcomings as well,Using it as car dash cam. Picture quality is good. Liked the wide angle mode. You can pair this with your phone using SJCAM app and control SJ4000 from app itself. One bad thing is that the plastic cover given for mounting the cam partly covers the microphone and the result of this.. Audio recording is not up to mark.,4.0 out of 5 stars
Technical issues are more,I dislike the product. It has more technical issues. Dont buy the sjcam products. So stressful and difficult handling.,1.0 out of 5 stars
Tiny water leak.,There is a tiny water leak from the camera housing buttons. I have been using action camera since 10 years. I'm a scuba instructor and trained to use these camera. It would be nice if the seller could replace me the housing case since the camera is in warranty.,3.0 out of 5 stars
Good action camera for beginners,Its was an good action camera. At the day light it work awesome and at night the quality of video get decrease.but for the beginners it was budget friendly camera and nice work at that rate.,5.0 out of 5 stars
Received a fake product..,"Beaware,I have received a fake product..",1.0 out of 5 stars
Weak body.,Product start having problem within 5 days.Power button not working need to press the button very hard till it breaks the body!!!!!Zero star for me because of button issues...,1.0 out of 5 stars
Love cam overall,Love cam overall. But I gave 4* is because there are so many attachments in the box along with camera and don't even know what's its for. No where it's mentioned in the manual. I even tried to Google but unable to find.,4.0 out of 5 stars
A decent camera for beginners,"The media could not be loaded.
                




   Not a fancy product but decent enough for some fun videos.... If the roads are plain then it works decently, if the roads go jittery so does the camera.... But not disappointed with the purchase....",4.0 out of 5 stars
Fayde ka sauda,Best in its price.Got some awesome underwater pics in Maldives😎😎😎,5.0 out of 5 stars
Best of this budget action cam,Budget action camUnder this price range,5.0 out of 5 stars
Buy any  under 2000,You can buy any cheaper brand than this it's not work for money,3.0 out of 5 stars
Original product 👌,Best and this is absolutely original product 👌 plz buy it without any fear,5.0 out of 5 stars
Not up to the mark,This action camera doesn't provide you any video stabilization leading to shaky video clips. The video quality it shoots is up to 4k but 4k video quality is also not so clear one. Lens wide angle is very less.Bit disappointed with the camera,3.0 out of 5 stars
Great Product.so far so good.Its not the camera its the Editing and creators Idea which is important,Great Product...so far so good...It's not the camera its the Editing and creators Idea which is important,5.0 out of 5 stars
product it's not working cemra look like used and battery missing am too upset ..,Bad experience .. products look like used..1st time oreder action camera ...mood off too upset ..I need my refund ..I was traveling on 30th July but this product not working ..too bad ......,1.0 out of 5 stars
Trouble operating the camera,I have tried 3 different memory card but they don't work. An error message comes up on the screen asking me to format the card tries it but no luck.,1.0 out of 5 stars
Very good product. Value for money.,It is very good action camara. Can surely buy it. Value for money.,5.0 out of 5 stars
Lost my memory card,By my mistake memory card  inside in camera .,2.0 out of 5 stars
Image quality and stabilization could have been better.,Too much vibration can see in the camera. Also ubnoxious battery life. Runs only for 30 min. On full charge.,2.0 out of 5 stars
One Star,Pathetic quality. If you have used even HD cameras you will just hate it.,1.0 out of 5 stars
For now giving it a 4 star... ...,For now giving it a  4 star...after 1 month give you the overall review...inspire of so many attachment...if one monopod will be there ...it will be more fruitful,4.0 out of 5 stars
very difficult to click pics,difficult to click pics,1.0 out of 5 stars
good Budget friendly action cam for videos,"Good product for the price , for video it's ok , but for photos not okay. Using it as helmet cam while travelling and works fine for that purpose , underwater videos are good too.",4.0 out of 5 stars
Bad battery life . Vidoes are ok,The battery life is maybe 1 hour of recording.After that it does tragically,2.0 out of 5 stars
Good camera,"The media could not be loaded.
                




   You can charge it with your laptop and it is also very compact",5.0 out of 5 stars
Good for the beginners.,"The media could not be loaded.
                




   1. I like the built quality2 battery backup is not good.3. Video HD quality is average",3.0 out of 5 stars
cheap quality product,not good,1.0 out of 5 stars
Value to money.,"Value to money.One small problem, lens cover not included.",5.0 out of 5 stars
Don't waste your money,"Dont expect any stabilization or image correction. If you have little more money, grab a good one and don't waste your money for this.",2.0 out of 5 stars
"Bad Product, Needs to be replaced.","The canera is bad , the zoom switch just does not work even without using the cover. With cover its anyway so hard to use.",1.0 out of 5 stars
Defective product,The zoom in / wifi button was defective. All the other aspects were okay. Lots of mounts with the cam. That's a good thing.,3.0 out of 5 stars
Disappointed,Don’t ever buy this! It’s unworthy of a single penny!!!!!!!!,1.0 out of 5 stars
Product damage,I have received a damage praduct its up and down buttons are not working,1.0 out of 5 stars
Looks like used product,"Looks like used product, very bad delivery outer case was broken and open inner case is upside down with no shrink wrap on it, want to replace it",2.0 out of 5 stars
Extremely happy with the cam,Extremely happy with the cam.. The picture resolution is very sharp and the wide angle lens work wonders.. Extremely happy with the purchase..,5.0 out of 5 stars
"Excellent product, except the battery backup is poor",Everything is good about this camera except for the battery backup. Shooting in 1080/30fps gives only about 15-20 minutes of recording.,3.0 out of 5 stars
No battery in the camera,"I ordered the product but there was no battery in it, so had to return the product,  had a lot of expectations,  but didn't expect this from sjcam....",2.0 out of 5 stars
Best Budget Action Cam - SJCAM SJ4000,"Picture Quality is way Good for the price you pay for it! Just get it, It's Good. SJCAM is a Reliable Brand. I was a Bit Skeptical about the Picture Quality But SJCAM did not Disappoint. Go for it.",5.0 out of 5 stars
Excellent,Product as discussed. Original product.,5.0 out of 5 stars
Value for money,The product is good but fails drastically in low light conditions,5.0 out of 5 stars
Worst product...,Worst product...the product dint even turned on. May be amazon is getting cheap and loosing its quality towards customers.,1.0 out of 5 stars
Good product.,Battery life may be better. Gets hot. When on for long time it does not get off,5.0 out of 5 stars
Five stars. It made my deep sea diving more perfect!,"Superb video quality, durable and convenient to carry, this inexpensive little champion can make GoPro run for cover.Pros: Sound is barely audible when used inside waterproof cover. Video clarity is not so fine in low light. Not recommended for still images.",5.0 out of 5 stars
Amazing. Most recommended,Recommended product. Very good picture quality and stabilization. Amazing one price for that price range(<5K).,4.0 out of 5 stars
Cheap and best,Product is good according to the price. Video stabilisation good.. Only problem with video lapse. Overall its a good quality go for it,5.0 out of 5 stars
Good,As expected,4.0 out of 5 stars
Recommended,Used during our trip to Andaman and Nicobar islands and I'm impressed my it's performance and photo and video quality. A nice alternative to gopro.,5.0 out of 5 stars
Satisfactory,Works good at day..and satisfactory at night. Uploaded a night testing video here : https://youtu.be/v5CQamNEfrY,4.0 out of 5 stars
Good for this price,Good for 5000 price but image stabilization is not good.  Works good underwater. Wide angle capture is good.,3.0 out of 5 stars
Very good product in budget,Well i have use this camera more then 4000 kilometers actually video and sound quality is very impressive in this budget big thumbs-up for sjcan,4.0 out of 5 stars
Awsm,Great piece,5.0 out of 5 stars
Worth the Money,"The only problem I saw was the image quality. The image wasn't good at all. However, the video was amazing. The battery life is a bit low. Overall it was totally worth spending 5k on it.",4.0 out of 5 stars
Battery is worst.,"Everything is good except the battery, within 5 months of use, Battery got expanded, risk of getting blasted.so have to remove. Don't know the warranty  of battery,",5.0 out of 5 stars
dont buy guys..,"not good, pic quality is ok, but.. don't buy it..",2.0 out of 5 stars
Worst product no audio quality,Worst product no Audio quality,1.0 out of 5 stars
"Orginal Sj4000 wifi model, but no 4k or 1080p 60fps","Product is good, video and image quality is very good in this price segment. But it wont support 4k or 1080p 60fps. And Wifi model is the orginal one. Sj4000 air is fake",4.0 out of 5 stars
One Star,Charger cable is missing. There is scratch on screen and the packed was broken.,1.0 out of 5 stars
Best for beginners,"Good for Beginners. I am a Blogger.YouTube Channel ""Ankur The Rider""",3.0 out of 5 stars
Poor battery backup,Good quality product..... camera clarity is good..... unfortunately battery backup is poor... but overall good.....,4.0 out of 5 stars
good but need to audio jack,this is best for beginners but one issue is important that it have no audio jack option,3.0 out of 5 stars
Excellent product,Awesome product recomended,5.0 out of 5 stars
Value for money,Value for money,5.0 out of 5 stars
This Camera Looks Good And Also Very handy to Use And Price Is ...,I don't know much about Action Camera.This Camera Looks Good And Also Very handy to Use And Price Is Low to AnotherPicture Quality Is Ok ok U can't Expect Much,3.0 out of 5 stars
Wifi doesn’t work on iPhone 6a,Wifi not working,1.0 out of 5 stars
Value for money,Dislike no external mic support,5.0 out of 5 stars
Please replace this product.,The micro SD card does not sit in the slot.A lot of people have had the same problem.,1.0 out of 5 stars
Amazing camera. Works perfectly.,I bought this camera for my Maldives trip and filmed underwater videos. The waterproof case is great and there was no leakage at all. Got great videos underwater. Pics are not that great but then again you don't buy this camera for pictures. Wifi works seamlessly with your phone. Received a bunch of attachments for fixing the camera on your helmet or bike etc. Battery life is also great. Charging is also quick. Overall a good camera and,5.0 out of 5 stars
Good quality,Good quality,5.0 out of 5 stars
Works well,Works well but not a go pro.,4.0 out of 5 stars
Great picture quality,Great picture quality in this price range.Not good for low light  pictures and battery life not up to the mark,5.0 out of 5 stars
Really good one. Go for it....,I have bought this cam today and it met my expectation. I have done lot of review before I bought this. Go for it. Seller sends this with perfect packing,5.0 out of 5 stars
Just for new motorvloger,Best for new YouTuber check video quality on my YouTube channel > punjabiker Balraj,5.0 out of 5 stars
Super Action camera,5 star Bhi km he ..isey 8 Star Dunga .best Camera He Bhaisaab.Yeh Sony cyber shot Ki traah work krta He.Baki jise Camera Ki Quality Dekhni he Mere YouTube Channel pe Dekhlo DJM AJAY,5.0 out of 5 stars
Nice,Nice product,4.0 out of 5 stars
SJ camera review,Picture quality is not good.Body of the camera Seems to be very delicate and not durable,1.0 out of 5 stars
"Good, Charge issue",Ok with this product but problem is charge issue.,4.0 out of 5 stars
Very bad quality,Very bad quality of the product,1.0 out of 5 stars
Value for money very good for beginners in vlogging,Value for money very good for beginners in vlogging,5.0 out of 5 stars
Not bad,Not bad if we look at the price ! .. it's not as awesome as go pro but the price differs too. Yes I am happy  .  Only problem is the battery back up.. so if u r recording and vlogger I suggest u get extra battery...,4.0 out of 5 stars
Works great as dashcam,I am using it as dash cam.. works perfectly,5.0 out of 5 stars
Waste of time and money,Waste of money. Better to safe and buy quality,1.0 out of 5 stars
Best for motovlogs,There is no options for mic bt quality was best good fire motovlog,5.0 out of 5 stars
Camera and stability,Not so good.. product review doesn't match from the advertisement.. I am really disappointed..,2.0 out of 5 stars
Good for low budget,Best under water camera,5.0 out of 5 stars
Worth it for the mony paid.,From the price point of view it is the best.,5.0 out of 5 stars
Best in price,It is entery level action cam everything is okay but you have to buy spare batteries for this,5.0 out of 5 stars
Overall camera is good deal in budget,Overall satisfied with product as i majorly used it as car dash cam....,5.0 out of 5 stars
bad,very bad battery and performance,1.0 out of 5 stars
Four Stars,Excellent in daylight.batterry life good lasted 8 hours at a stretch durind my last ride,4.0 out of 5 stars
Not happy with the product,Not happy with the product. Image quality not great.,1.0 out of 5 stars
Best and nice product in the price range,The product come with a good equipment and better video quality but no stabilization.but it is the best camera ata range of the camera comparing to other camera,5.0 out of 5 stars
Fatafati,Excellent product.,5.0 out of 5 stars
Good product,Picture quality is fine.,4.0 out of 5 stars
vry nice product go for it..,vry nice product go for it..,5.0 out of 5 stars
Not recording video and phots,This product is not good dont buy this Worest product,1.0 out of 5 stars
Worth the price,I am using it as a dash cam as well.. Serves the purpose of both,4.0 out of 5 stars
not bad at this price,not bad.. battery runs out too fast,3.0 out of 5 stars
